Country,Gold_Count,Silver_Count,Bronze_Count,Zero_Count
Jupiter,2,0,0,0
,,,,
"Philadelphia Turngemeinde, Philadelphia",6,0,0,0
,,,,
Deutscher Schwimm Verband Berlin,4,0,0,0
,,,,
Eleda,7,0,0,0
,,,,
Beatrijs III,3,0,0,0
,,,,
Vietnam,1,3,0,0
,,,,
Slovakia,15,19,13,0
,,,,
Irene,5,0,0,0
,,,,
Sif,4,0,0,0
,,,,
Bona Fide,3,0,0,0
,,,,
Cincinnati Archers,4,4,0,0
,,,,
Minotaur,3,0,0,0
,,,,
Grenada,1,1,0,0
,,,,
Bahrain,1,1,1,0
,,,,
Nrnberg,1,0,0,0
,,,,
Estonia,13,12,20,0
,,,,
Rush V,3,0,0,0
,,,,
Kosovo,1,0,0,0
,,,,
Bonaparte,1,0,0,0
,,,,
Sildra,4,0,0,0
,,,,
Hong Kong,1,2,1,0
,,,,
Venezuela,2,3,10,0
,,,,
Kathleen,2,0,0,0
,,,,
Potomac Archers,4,0,0,0
,,,,
Roehampton,4,0,0,0
,,,,
Atalanta Boat Club,2,2,0,0
,,,,
Mozambique,1,0,1,0
,,,,
Aschenbrodel,4,4,0,0
,,,,
Tajikistan,1,1,2,0
,,,,
Suriname,1,0,1,0
,,,,
Burundi,1,1,0,0
,,,,
Barrenjoey,3,0,0,0
,,,,
Pandora,2,0,0,0
,,,,
Ecuador,1,1,0,0
,,,,
Tornado,2,3,0,0
,,,,
Costa Rica,1,1,2,0
,,,,
Puerto Rico,1,2,6,0
,,,,
Cicely,1,0,0,0
,,,,
Merope,2,0,0,0
,,,,
Fantlet,1,0,0,0
,,,,
Panama,1,0,2,0
,,,,
Singapore,1,4,4,0
,,,,
Syria,1,1,1,0
,,,,
Hilarius,2,0,0,0
,,,,
Latvia,3,19,13,0
,,,,
Mac Miche,3,0,0,0
,,,,
Camille,1,0,0,0
,,,,
Peru,1,14,0,0
,,,,
Liechtenstein,2,2,5,0
,,,,
Satchmo,1,0,0,0
,,,,
Fornebo,0,4,0,0
,,,,
Mutafo,0,3,0,0
,,,,
Saudi Arabia,0,1,5,0
,,,,
Martha,0,4,4,0
,,,,
Niger,0,1,1,0
,,,,
USFSA,0,13,0,0
,,,,
Elsie,0,4,0,0
,,,,
Mound City Rowing Club,0,4,0,0
,,,,
Botswana,0,1,0,0
,,,,
Frankfurt Club,0,15,0,0
,,,,
Tip,0,3,0,0
,,,,
Elisabeth X,0,5,0,0
,,,,
Iceland,0,15,2,0
,,,,
Gallant,0,5,0,0
,,,,
Toronto Argonauts,0,9,9,0
,,,,
"Life boat naval ship ""Spetsai""",0,7,0,0
,,,,
Paraguay,0,17,0,0
,,,,
Montenegro,0,14,0,0
,,,,
Guatemala,0,1,0,0
,,,,
Qatar,0,1,4,0
,,,,
Christian Brothers' College,0,11,0,0
,,,,
Racing Club de France,0,11,0,0
,,,,
Crabe II,0,5,5,0
,,,,
Mouchette,0,10,0,0
,,,,
Tanzania,0,2,0,0
,,,,
Moseley Wanderers,0,15,0,0
,,,,
Chicago Athletic Association,0,16,0,0
,,,,
Kyrgyzstan,0,1,2,0
,,,,
Symphony,0,2,0,0
,,,,
Thames Rowing Club,0,5,0,0
,,,,
Erna Signe,0,10,0,0
,,,,
Web II,0,3,0,0
,,,,
Tritons Lillois,0,5,0,0
,,,,
Boreas,0,2,0,0
,,,,
"New York Turnverein, New York",0,6,0,0
,,,,
Nina,0,7,0,0
,,,,
Netherlands Antilles,0,1,0,0
,,,,
Slaghoken,0,3,0,0
,,,,
"New College, Oxford",0,9,0,0
,,,,
Vision,0,4,0,0
,,,,
St. Louis Southwest Turnverein #1,0,5,0,0
,,,,
Royal Club Nautique de Gand,0,21,0,0
,,,,
Roddklubben af 1912,0,5,0,0
,,,,
"BLO Polo Club, Rugby",0,4,0,0
,,,,
Hurlingham,0,4,0,0
,,,,
Liverpool Police Team,0,8,0,0
,,,,
Trans-Mississippi Golf Association,0,10,0,0
,,,,
Tango,0,3,0,0
,,,,
Brynhild,0,1,0,0
,,,,
Haiti,0,1,5,0
,,,,
Barion/Bari,0,3,0,0
,,,,
Malaysia,0,11,5,0
,,,,
Quand-Mme,0,9,0,0
,,,,
Smyrna,0,11,0,0
,,,,
Lebanon,0,2,2,0
,,,,
Brussels Swimming and Water Polo Club,0,10,0,0
,,,,
Santa Maria,0,6,0,0
,,,,
Cornwall,0,15,0,0
,,,,
Kurush II,0,2,0,0
,,,,
United States/France,0,2,0,0
,,,,
Hollandia,0,6,0,0
,,,,
Bonzo,0,3,0,0
,,,,
Socit Nautique de la Basse Seine,0,5,3,0
,,,,
Senegal,0,1,0,0
,,,,
Philippines,0,3,7,0
,,,,
"Phalainis ton Thorichtou ""Hydra""",0,17,7,0
,,,,
Silja,0,6,0,0
,,,,
Favorite,0,8,0,0
,,,,
St. Louis Amateur Athletic Association,0,12,0,0
,,,,
Gitana,0,5,5,0
,,,,
United Arab Republic,0,1,1,0
,,,,
Marmi II,0,3,0,0
,,,,
Leander Club #2,0,2,0,0
,,,,
Encore,0,3,0,0
,,,,
Skum,0,2,0,0
,,,,
Emily,0,5,0,0
,,,,
Namibia,0,4,0,0
,,,,
Vinga,0,5,0,0
,,,,
Sans Atout,0,5,0,0
,,,,
Nurdug II,0,3,0,0
,,,,
Ravenswood Boat Club,0,2,0,0
,,,,
United States Virgin Islands,0,1,0,0
,,,,
Djinn,0,5,0,0
,,,,
Mascotte,0,3,0,0
,,,,
Zut,0,3,0,0
,,,,
Tan-Fe-Pah,0,3,0,0
,,,,
Sudan,0,1,0,0
,,,,
Joy,0,2,0,0
,,,,
Bohemia,0,1,10,0
,,,,
Sri Lanka,0,2,0,0
,,,,
Moldova,0,3,5,0
,,,,
Rush VII,0,3,0,0
,,,,
Lully II,0,5,0,0
,,,,
Cyprus,0,1,0,0
,,,,
Rostock,0,1,0,0
,,,,
Sunshine,0,2,0,0
,,,,
Omas Helliniki P. S.,0,8,0,0
,,,,
Club Nautique de Lyon,0,4,0,0
,,,,
France/Great Britain,0,2,0,0
,,,,
Societ Nautique de la Marne,0,2,0,0
,,,,
Zambia,0,1,1,0
,,,,
Scamasaxe,0,2,2,0
,,,,
Nadine,0,1,0,0
,,,,
Rose Pompon,0,3,0,0
,,,,
Lady C,0,2,0,0
,,,,
Hi-Hi,0,4,0,0
,,,,
Gabon,0,1,0,0
,,,,
Comanche,0,2,0,0
,,,,
Ghana,0,1,22,0
,,,,
Ma'Lindo,0,2,0,0
,,,,
Merope III,0,2,0,0
,,,,
Lyn,0,5,0,0
,,,,
Sunrise,0,1,0,0
,,,,
Falcon IV,0,2,0,0
,,,,
Glider,0,2,0,0
,,,,
Salinero,0,1,0,0
,,,,
Tonga,0,1,0,0
,,,,
Thessalonki,0,0,11,0
,,,,
Stella,0,0,3,0
,,,,
Lucky Girl,0,0,5,0
,,,,
Kuwait,0,0,2,0
,,,,
Heatherbell,0,0,7,0
,,,,
Mohawk Indians,0,0,12,0
,,,,
Ali-Baba II,0,0,5,0
,,,,
Favorite Hammonia,0,0,6,0
,,,,
Guyana,0,0,1,0
,,,,
Guyoni,0,0,3,0
,,,,
Swedish Star,0,0,2,0
,,,,
Kerstin,0,0,3,0
,,,,
Iraq,0,0,1,0
,,,,
Bluebottle,0,0,3,0
,,,,
Snap,0,0,3,0
,,,,
Argonaut Rowing Club,0,0,6,0
,,,,
Berliner Ruderverein von 1876,0,0,9,0
,,,,
Bingo,0,0,3,0
,,,,
Nina Claire,0,0,4,0
,,,,
Gallia II,0,0,7,0
,,,,
Widgeon,0,0,2,0
,,,,
Socit Nautique de Bayonne,0,0,8,0
,,,,
Pistoja/Firenze,0,0,9,0
,,,,
Germania II,0,0,6,0
,,,,
Polyteknisk Roklub,0,0,5,0
,,,,
Ormsund Roklub,0,0,5,0
,,,,
Chuckles,0,0,2,0
,,,,
Togo,0,0,1,0
,,,,
Caprice,0,0,4,0
,,,,
Cambridge University Boat Club,0,0,9,0
,,,,
St. Rose,0,0,12,0
,,,,
Namoussa,0,0,5,0
,,,,
Boston Archers,0,0,4,0
,,,,
Western Rowing Club,0,0,6,0
,,,,
Libellule de Paris,0,0,7,0
,,,,
Amstel Amsterdam,0,0,4,0
,,,,
Scotland,0,0,11,0
,,,,
Buraddoo,0,0,3,0
,,,,
United States Golf Association,0,0,10,0
,,,,
Sarcelle,0,0,3,0
,,,,
Pupilles de Neptune de Lille #2,0,0,8,0
,,,,
Willem-Six,0,0,3,0
,,,,
K Division Metropolitan Police Team,0,0,8,0
,,,,
Venilia,0,0,3,0
,,,,
Wales,0,0,11,0
,,,,
Ballerina IV,0,0,3,0
,,,,
Espadarte,0,0,2,0
,,,,
Gwendoline,0,0,3,0
,,,,
Antwerpia V,0,0,5,0
,,,,
"Bagatelle Polo Club, Paris",0,0,4,0
,,,,
Bem II,0,0,2,0
,,,,
Aphrodite,0,0,3,0
,,,,
Univ. of Brussels,0,0,11,0
,,,,
Rowing Club Castillon,0,0,3,0
,,,,
United States/Great Britain,0,0,2,0
,,,,
Mignon,0,0,1,0
,,,,
"Central Turnverein, Chicago",0,0,6,0
,,,,
Berliner Ruderclub,0,0,2,0
,,,,
May Be,0,0,5,0
,,,,
A North American Team,0,0,4,0
,,,,
Missouri Athletic Club,0,0,11,0
,,,,
Tutti V,0,0,5,0
,,,,
Gem IV,0,0,2,0
,,,,
Ludwigshafener Ruder Verein,0,0,5,0
,,,,
Australia/Great Britain,0,0,2,0
,,,,
St. Louis Southwest Turnverein #2,0,0,5,0
,,,,
West Indies Federation,0,0,5,0
,,,,
Shrew II,0,0,2,0
,,,,
Sylvia,0,0,6,0
,,,,
Don Schufro,0,0,1,0
,,,,
Bermuda,0,0,1,0
,,,,
Laurea,0,0,1,0
,,,,
Sorais,0,0,5,0
,,,,
Macedonia,0,0,1,0
,,,,
Ralia,0,0,5,0
,,,,
Clearwater,0,0,1,0
,,,,
Mauritius,0,0,1,0
,,,,
Macky VI,0,0,3,0
,,,,
Ethnikos Gymnastikos Syllogos,0,0,2,0
,,,,
Kristiania Roklub,0,0,5,0
,,,,
Pupilles de Neptune de Lille,0,0,4,0
,,,,
Starita,0,0,2,0
,,,,
Frimousse,0,0,1,0
,,,,
Monaco,0,0,1,0
,,,,
Turquoise,0,0,1,0
,,,,
Gustel X,0,0,3,0
,,,,
Afghanistan,0,0,2,0
,,,,
Hojwa,0,0,3,0
,,,,
Humbug V,0,0,2,0
,,,,
Margaret,0,0,2,0
,,,,
Independent Rowing Club,0,0,2,0
,,,,
Bohemia/Great Britain,0,0,2,0
,,,,
Djibouti,0,0,1,0
,,,,
Potsdam,0,0,1,0
,,,,
Eritrea,0,0,1,0
,,,,
Barbados,0,0,1,0
,,,,
Formosa,0,0,1,0
,,,,
Digby,0,0,1,0
,,,,
Chad,0,0,0,0
,,,,
Nicaragua,0,0,0,0
,,,,
Libya,0,0,0,0
,,,,
Palestine,0,0,0,0
,,,,
Comoros,0,0,0,0
,,,,
Brunei,0,0,0,0
,,,,
Maldives,0,0,0,0
,,,,
North Yemen,0,0,0,0
,,,,
Dem. Rep. Congo,0,0,0,0
,,,,
Benin,0,0,0,0
,,,,
Somalia,0,0,0,0
,,,,
Mali,0,0,0,0
,,,,
Angola,0,0,0,0
,,,,
Bangladesh,0,0,0,0
,,,,
El Salvador,0,0,0,0
,,,,
Honduras,0,0,0,0
,,,,
Turkmenistan,0,0,0,0
,,,,
Seychelles,0,0,0,0
,,,,
Mauritania,0,0,0,0
,,,,
Saint Kitts and Nevis,0,0,0,0
,,,,
New York Athletic Club #2,0,0,0,0
,,,,
Saint Vincent and the Grenadines,0,0,0,0
,,,,
Mystery,0,0,0,0
,,,,
Liberia,0,0,0,0
,,,,
Clementine V,0,0,0,0
,,,,
Bylina,0,0,0,0
,,,,
Palau,0,0,0,0
,,,,
American Samoa,0,0,0,0
,,,,
Samoa,0,0,0,0
,,,,
Rwanda,0,0,0,0
,,,,
Dominica,0,0,0,0
,,,,
Malta,0,0,0,0
,,,,
Guinea,0,0,0,0
,,,,
Xolotl,0,0,0,0
,,,,
Belize,0,0,0,0
,,,,
Matrero II,0,0,0,0
,,,,
Blue Red,0,0,0,0
,,,,
Gteborgs Roddklubb,0,0,0,0
,,,,
South Yemen,0,0,0,0
,,,,
Yeoman VII,0,0,0,0
,,,,
Yeoman XII,0,0,0,0
,,,,
Sierra Leone,0,0,0,0
,,,,
Papua New Guinea,0,0,0,0
,,,,
Yemen,0,0,0,0
,,,,
Oman,0,0,0,0
,,,,
Vanuatu,0,0,0,0
,,,,
Martha7,0,0,0,0
,,,,
Burevestnik,0,0,0,0
,,,,
Druzhba,0,0,0,0
,,,,
Olen,0,0,0,0
,,,,
British Virgin Islands,0,0,0,0
,,,,
Central African Rep.,0,0,0,0
,,,,
Madagascar,0,0,0,0
,,,,
Malaya,0,0,0,0
,,,,
Bosnia and Herzegovina,0,0,0,0
,,,,
Guam,0,0,0,0
,,,,
Cayman Islands,0,0,0,0
,,,,
Cupidon Viking,0,0,0,0
,,,,
Damoiselle,0,0,0,0
,,,,
The Cloud,0,0,0,0
,,,,
Galerna,0,0,0,0
,,,,
Guinea Bissau,0,0,0,0
,,,,
Roma,0,0,0,0
,,,,
Tajamar,0,0,0,0
,,,,
"Lemzos Thorichton ""Spetsai""",0,0,0,0
,,,,
Timor Leste,0,0,0,0
,,,,
Amolgavar,0,0,0,0
,,,,
Demoncratic Republic of the Congo,0,0,0,0
,,,,
May Be VII,0,0,0,0
,,,,
San Marino,0,0,0,0
,,,,
Laos,0,0,0,0
,,,,
Refugee Olympic Athletes,0,0,0,0
,,,,
Lett,0,0,0,0
,,,,
GyoshuII,0,0,0,0
,,,,
Solomon Islands,0,0,0,0
,,,,
Dolfijn,0,0,0,0
,,,,
Cape Verde,0,0,0,0
,,,,
rn,0,0,0,0
,,,,
Crete,0,0,0,0
,,,,
Breslau,0,0,0,0
,,,,
Club Nautique de Dieppe,0,0,0,0
,,,,
Fram,0,0,0,0
,,,,
Equatorial Guinea,0,0,0,0
,,,,
Bolivia,0,0,0,0
,,,,
Saar,0,0,0,0
,,,,
Andorra,0,0,0,0
,,,,
Antigua and Barbuda,0,0,0,0
,,,,
EA II,0,0,0,0
,,,,
Linglom,0,0,0,0
,,,,
"La Salle Turnverein, Chicago",0,0,0,0
,,,,
Nautikos Omilos,0,0,0,0
,,,,
Wolseley-Siddeley,0,0,0,0
,,,,
Ciocca II,0,0,0,0
,,,,
Mirtala,0,0,0,0
,,,,
Saint Lucia,0,0,0,0
,,,,
Carabinier,0,0,0,0
,,,,
Pettit-Poucet,0,0,0,0
,,,,
Federated States of Micronesia,0,0,0,0
,,,,
Myanmar,0,0,0,0
,,,,
Hirondelle,0,0,0,0
,,,,
Evita VI,0,0,0,0
,,,,
Malawi,0,0,0,0
,,,,
Bronia,0,0,0,0
,,,,
Rhodesia,0,0,0,0
,,,,
Sao Tome and Principe,0,0,0,0
,,,,
Hungaria Evezos Egylet,0,0,0,0
,,,,
Fortuna,0,0,0,0
,,,,
Starlight III,0,0,0,0
,,,,
"Lemzos Thorichton ""Psara""",0,0,0,0
,,,,
Sabre,0,0,0,0
,,,,
Firebird II,0,0,0,0
,,,,
"Passaic Turnverein, Passaic",0,0,0,0
,,,,
Primorka,0,0,0,0
,,,,
Gambia,0,0,0,0
,,,,
Grifo III,0,0,0,0
,,,,
Grifo IV,0,0,0,0
,,,,
Damoiselle IV,0,0,0,0
,,,,
Nina Claire0,0,0,0,0
,,,,
Qu'Importe,0,0,0,0
,,,,
Konstanz,0,0,0,0
,,,,
Suzy,0,0,0,0
,,,,
Dansk Idrts Forbund,0,0,0,0
,,,,
Marmara,0,0,0,0
,,,,
Mistral Hojris,0,0,0,0
,,,,
Cook Islands,0,0,0,0
,,,,
Albania,0,0,0,0
,,,,
Pampero,0,0,0,0
,,,,
Sjhxa,0,0,0,0
,,,,
Faneca,0,0,0,0
,,,,
Ciocca III,0,0,0,0
,,,,
Dinah V,0,0,0,0
,,,,
Nora,0,0,0,0
,,,,
Monica,0,0,0,0
,,,,
Shoveller,0,0,0,0
,,,,
Circus,0,0,0,0
,,,,
Aletta,0,0,0,0
,,,,
Inca,0,0,0,0
,,,,
Relampago,0,0,0,0
,,,,
"Davenport Turngemeinde, Davenport",0,0,0,0
,,,,
"Norwegier Turnverein, Brooklyn",0,0,0,0
,,,,
Anitra,0,0,0,0
,,,,
Snude,0,0,0,0
,,,,
Web III,0,0,0,0
,,,,
Posillipo III,0,0,0,0
,,,,
"Turnverein Vorwrts, Cleveland",0,0,0,0
,,,,
Club Nautique de Franais,0,0,0,0
,,,,
Peri,0,0,0,0
,,,,
Tichiboo,0,0,0,0
,,,,
Siames-Cat,0,0,0,0
,,,,
Swaziland,0,0,0,0
,,,,
Ausonia,0,0,0,0
,,,,
Burkina Faso,0,0,0,0
,,,,
Nortazo,0,0,0,0
,,,,
Tom Kyle,0,0,0,0
,,,,
Tilly,0,0,0,0
,,,,
North Borneo,0,0,0,0
,,,,
Wiking,0,0,0,0
,,,,
Chok,0,0,0,0
,,,,
Aruba,0,0,0,0
,,,,
Buscape II,0,0,0,0
,,,,
Camelia,0,0,0,0
,,,,
Whitini Star,0,0,0,0
,,,,
Nikh,0,0,0,0
,,,,
Andorinha,0,0,0,0
,,,,
Cupidon III,0,0,0,0
,,,,
Athens,0,0,0,0
,,,,
Marga,0,0,0,0
,,,,
Serendipity,0,0,0,0
,,,,
Compigne Polo Club,0,0,0,0
,,,,
Trickson VI,0,0,0,0
,,,,
Calcinhas,0,0,0,0
,,,,
Gteborgs Roddfrening,0,0,0,0
,,,,
Chamukina,0,0,0,0
,,,,
Nausikaa 4,0,0,0,0
,,,,
Arcturus,0,0,0,0
,,,,
Nauru,0,0,0,0
,,,,
Lucky Star,0,0,0,0
,,,,
Briar,0,0,0,0
,,,,
Panhellenios Gymnastikos Syllogos,0,0,0,0
,,,,
Gabbiano,0,0,0,0
,,,,
Gran Gesto,0,0,0,0
,,,,
Ceres II,0,0,0,0
,,,,
Covunco III,0,0,0,0
,,,,
Chicago Archers,0,0,0,0
,,,,
Bamba,0,0,0,0
,,,,
Rush IV,0,0,0,0
,,,,
Ali-Baba IV,0,0,0,0
,,,,
Ali-Baba VI,0,0,0,0
,,,,
Ali-Baba IX,0,0,0,0
,,,,
Pigoule,0,0,0,0
,,,,
South Vietnam,0,0,0,0
,,,,
Snowten III,0,0,0,0
,,,,
Hungaria,0,0,0,0
,,,,
Scram,0,0,0,0
,,,,
Peri II,0,0,0,0
,,,,
Vinha,0,0,0,0
,,,,
Fantasio III,0,0,0,0
,,,,
Pousse-Moi Pas VII,0,0,0,0
,,,,
Norwegian Rowing Association,0,0,0,0
,,,,
LaBandera,0,0,0,0
,,,,
Gilliatt V,0,0,0,0
,,,,
Sarcelle5,0,0,0,0
,,,,
Espuma del Mar,0,0,0,0
,,,,
Twins II,0,0,0,0
,,,,
Beaver,0,0,0,0
,,,,
Baccara,0,0,0,0
,,,,
Ral-Club Barcelona,0,0,0,0
,,,,
Romolo,0,0,0,0
,,,,
Aldebaran II,0,0,0,0
,,,,
Aldebaran,0,0,0,0
,,,,
Argus,0,0,0,0
,,,,
Galatea II,0,0,0,0
,,,,
Twins VIII,0,0,0,0
,,,,
Lotta IV,0,0,0,0
,,,,
Saga,0,0,0,0
,,,,
Mari,0,0,0,0
,,,,
Paula,0,0,0,0
,,,,
DeRuyter,0,0,0,0
,,,,
Acturus,0,0,0,0
,,,,
Teresita,0,0,0,0
,,,,
Eissero VI,0,0,0,0
,,,,
Cambodia,0,0,0,0
,,,,
Allegro,0,0,0,0
,,,,
Gam II,0,0,0,0
,,,,
Ylliam VIII,0,0,0,0
,,,,
Quand-Mme3,0,0,0,0
,,,,
Berliner Ruderclub Sport-Borussia,0,0,0,0
,,,,
Calimucho,0,0,0,0
,,,,
Bhutan,0,0,0,0
,,,,
Kingfisher,0,0,0,0
,,,,
Yangon,0,0,0,0
,,,,
Gustel V,0,0,0,0
,,,,
Sonja II,0,0,0,0
,,,,
Jill,0,0,0,0
,,,,
Kiel,0,0,0,0
,,,,
KNS,0,0,0,0
,,,,
Tim-Tam III,0,0,0,0
,,,,
Uragan,0,0,0,0
,,,,
Kon-Tiki,0,0,0,0
,,,,
Babe,0,0,0,0
,,,,
Antares,0,0,0,0
,,,,
Hatuey,0,0,0,0
,,,,
Morena,0,0,0,0
,,,,
Saskia,0,0,0,0
,,,,
SagaII,0,0,0,0
,,,,
June Climene,0,0,0,0
,,,,
Cambria,0,0,0,0
,,,,
Oleander XII,0,0,0,0
,,,,
Phoenix,0,0,0,0
,,,,
Ylliam VII,0,0,0,0
,,,,
Calypse II,0,0,0,0
,,,,
Ciocca,0,0,0,0
,,,,
Esperia,0,0,0,0
,,,,
Tournade0,0,0,0,0
,,,,
Tornade6,0,0,0,0
,,,,
Galejan,0,0,0,0
,,,,
Marshall Islands,0,0,0,0
,,,,
Umberta V,0,0,0,0
,,,,
Rozenn,0,0,0,0
,,,,
Red Dragon,0,0,0,0
,,,,
"R.-V. Germania, Leitmeritz",0,0,0,0
,,,,
Akatonbo,0,0,0,0
,,,,
Terrible,0,0,0,0
,,,,
Studenternes Roklub,0,0,0,0
,,,,
Rififi,0,0,0,0
,,,,
Partenope,0,0,0,0
,,,,
Bermudes,0,0,0,0
,,,,
Kiribati,0,0,0,0
,,,,
Diablo,0,0,0,0
,,,,
